ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2024-01-07T03:48:35Z,ios,10240,LT,78.61.198.127,unravel,Ado,Ado's Utattemita Album,spotify:track:0Cez33GqDU7Pw5rqOVUPpU,,,,,,,,fwdbtn,logout,False,False,False,1704579764,False
2024-01-07T04:31:14Z,ios,5665,LT,78.61.198.127,unravel,Ado,Ado's Utattemita Album,spotify:track:0Cez33GqDU7Pw5rqOVUPpU,,,,,,,,appload,endplay,False,True,False,1704601866,False
2024-01-07T04:31:15Z,ios,1671,LT,78.61.198.127,Crime And Punishment,Ado,Ado's Utattemita Album,spotify:track:7r46PpiDGgW7cQwXMHS5lU,,,,,,,,clickrow,endplay,False,True,False,1704601874,False
2024-01-07T04:31:17Z,ios,1764,LT,78.61.198.127,Villain,Ado,Ado's Utattemita Album,spotify:track:6IYbB5G5hZ0P2DYwGLptqA,,,,,,,,clickrow,endplay,False,True,False,1704601876,False
2024-01-07T04:31:20Z,ios,2600,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,clickrow,endplay,False,True,False,1704601878,False
2024-01-07T04:43:23Z,ios,184041,LT,78.61.198.127,Villain,Ado,Ado's Utattemita Album,spotify:track:6IYbB5G5hZ0P2DYwGLptqA,,,,,,,,clickrow,endplay,False,True,False,1704601881,False
2024-01-07T04:47:16Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,clickrow,trackdone,False,False,False,1704602603,False
2024-01-07T04:47:35Z,ios,12401,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,logout,False,False,False,1704602836,False
2024-01-07T04:51:20Z,ios,192020,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,appload,trackdone,False,False,False,1704602885,False
2024-01-07T04:54:45Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704603080,False
2024-01-07T04:58:10Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704603285,False
2024-01-07T05:01:35Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704603490,False
2024-01-07T05:05:00Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704603695,False
2024-01-07T05:08:25Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704603900,False
2024-01-07T05:11:50Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704604105,False
2024-01-07T05:15:15Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704604310,False
2024-01-07T05:18:40Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704604515,False
2024-01-07T05:22:05Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704604720,False
2024-01-07T05:25:30Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704604925,False
2024-01-07T05:28:55Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704605130,False
2024-01-07T05:32:22Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704605336,False
2024-01-07T05:35:47Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704605542,False
2024-01-07T05:39:12Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704605747,False
2024-01-07T05:42:37Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704605952,False
2024-01-07T05:46:02Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704606157,False
2024-01-07T05:49:27Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704606362,False
2024-01-07T05:52:52Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704606567,False
2024-01-07T05:56:17Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704606772,False
2024-01-07T05:59:42Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704606977,False
2024-01-07T06:03:07Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704607182,False
2024-01-07T06:06:32Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704607387,False
2024-01-07T06:09:57Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704607592,False
2024-01-07T06:13:22Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704607797,False
2024-01-07T06:16:52Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704608002,False
2024-01-07T06:20:16Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704608212,False
2024-01-07T06:23:42Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704608417,False
2024-01-07T06:27:07Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704608622,False
2024-01-07T06:30:32Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704608827,False
2024-01-07T06:33:57Z,ios,204506,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,trackdone,False,False,False,1704609032,False
2024-01-07T13:05:36Z,ios,165902,LT,78.61.198.127,God-ish,Ado,Ado's Utattemita Album,spotify:track:17hYqocEK8xnY858FXd8uI,,,,,,,,trackdone,endplay,False,True,False,1704609237,False
2024-01-07T13:10:35Z,ios,199800,LT,78.61.198.127,Villain,Ado,Ado's Utattemita Album,spotify:track:6IYbB5G5hZ0P2DYwGLptqA,,,,,,,,clickrow,trackdone,False,False,False,1704632737,False
2024-01-07T13:13:58Z,ios,199800,LT,78.61.198.127,Villain,Ado,Ado's Utattemita Album,spotify:track:6IYbB5G5hZ0P2DYwGLptqA,,,,,,,,trackdone,trackdone,False,False,False,1704633036,False
2024-01-07T13:19:47Z,ios,199800,LT,78.61.198.127,Villain,Ado,Ado's Utattemita Album,spotify:track:6IYbB5G5hZ0P2DYwGLptqA,,,,,,,,trackdone,trackdone,False,False,False,1704633238,False
2024-01-07T13:43:50Z,ios,199800,LT,78.61.198.127,Villain,Ado,Ado's Utattemita Album,spotify:track:6IYbB5G5hZ0P2DYwGLptqA,,,,,,,,trackdone,trackdone,False,False,False,1704633588,False
2024-01-07T13:48:36Z,ios,199800,LT,78.61.198.127,Villain,Ado,Ado's Utattemita Album,spotify:track:6IYbB5G5hZ0P2DYwGLptqA,,,,,,,,trackdone,trackdone,False,False,False,1704635030,False
2024-01-07T13:53:32Z,ios,199800,LT,78.61.198.127,Villain,Ado,Ado's Utattemita Album,spotify:track:6IYbB5G5hZ0P2DYwGLptqA,,,,,,,,trackdone,trackdone,False,False,False,1704635316,False
2024-01-07T13:57:52Z,ios,199800,LT,78.61.198.127,Villain,Ado,Ado's Utattemita Album,spotify:track:6IYbB5G5hZ0P2DYwGLptqA,,,,,,,,trackdone,trackdone,False,False,False,1704635613,False
2024-01-07T14:05:40Z,ios,115254,LT,78.61.198.127,Villain,Ado,Ado's Utattemita Album,spotify:track:6IYbB5G5hZ0P2DYwGLptqA,,,,,,,,trackdone,endplay,False,True,False,1704635873,False
2024-01-07T14:09:54Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,clickrow,trackdone,False,False,False,1704636341,False
2024-01-07T14:14:09Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704636595,False
2024-01-07T14:23:15Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704636850,False
2024-01-07T14:27:30Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704637396,False
2024-01-07T15:03:00Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704637651,False
2024-01-07T15:28:15Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704639780,False
2024-01-07T15:37:57Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704641296,False
2024-01-07T16:35:18Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704641877,False
2024-01-07T16:40:43Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704645319,False
2024-01-07T16:44:58Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704645644,False
2024-01-07T16:53:12Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704645898,False
2024-01-07T17:02:02Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704646393,False
2024-01-07T17:11:10Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704646923,False
2024-01-07T18:28:42Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704647471,False
2024-01-07T18:34:38Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704652122,False
2024-01-07T18:38:53Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704652479,False
2024-01-07T18:43:08Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704652733,False
2024-01-07T18:47:23Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704652988,False
2024-01-07T18:51:37Z,ios,254266,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,trackdone,False,False,False,1704653243,False
2024-01-07T19:03:15Z,ios,211218,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,unexpected-exit-while-paused,False,False,False,1704653498,False
2024-01-08T02:36:18Z,ios,42986,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,appload,trackdone,False,False,False,1704660819,False
2024-01-08T02:36:30Z,ios,9942,LT,78.61.198.127,Government Hooker,Lady Gaga,Born This Way,spotify:track:6LGwEHsFbxt7BgDwGXqFgj,,,,,,,,trackdone,endplay,False,True,False,1704681379,False
