ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2024-10-01T12:36:28Z,ios,176898,LT,84.15.176.14,Vent,NOIT,Vent,spotify:track:4yMXKeuRDOIzrh3fBiJYds,,,,,,,,trackdone,trackdone,False,False,False,1727786011,False
2024-10-01T12:40:08Z,ios,176898,LT,78.61.198.127,Vent,NOIT,Vent,spotify:track:4yMXKeuRDOIzrh3fBiJYds,,,,,,,,trackdone,trackdone,False,False,False,1727786186,False
2024-10-01T12:43:04Z,ios,176898,LT,78.61.198.127,Vent,NOIT,Vent,spotify:track:4yMXKeuRDOIzrh3fBiJYds,,,,,,,,trackdone,trackdone,False,False,False,1727786407,False
2024-10-01T12:45:59Z,ios,176898,LT,78.61.198.127,Vent,NOIT,Vent,spotify:track:4yMXKeuRDOIzrh3fBiJYds,,,,,,,,trackdone,trackdone,False,False,False,1727786582,False
2024-10-01T12:48:54Z,ios,176898,LT,78.61.198.127,Vent,NOIT,Vent,spotify:track:4yMXKeuRDOIzrh3fBiJYds,,,,,,,,trackdone,trackdone,False,False,False,1727786757,False
2024-10-01T12:51:50Z,ios,176898,LT,78.61.198.127,Vent,NOIT,Vent,spotify:track:4yMXKeuRDOIzrh3fBiJYds,,,,,,,,trackdone,trackdone,False,False,False,1727786933,False
2024-10-01T12:54:49Z,ios,176898,LT,78.61.198.127,Vent,NOIT,Vent,spotify:track:4yMXKeuRDOIzrh3fBiJYds,,,,,,,,trackdone,trackdone,False,False,False,1727787108,False
2024-10-01T12:57:56Z,ios,176898,LT,78.61.198.127,Vent,NOIT,Vent,spotify:track:4yMXKeuRDOIzrh3fBiJYds,,,,,,,,trackdone,trackdone,False,False,False,1727787287,False
2024-10-01T13:01:15Z,ios,176898,LT,78.61.198.127,Vent,NOIT,Vent,spotify:track:4yMXKeuRDOIzrh3fBiJYds,,,,,,,,trackdone,trackdone,False,False,False,1727787474,False
2024-10-01T13:04:10Z,ios,176898,LT,78.61.198.127,Vent,NOIT,Vent,spotify:track:4yMXKeuRDOIzrh3fBiJYds,,,,,,,,trackdone,trackdone,False,False,False,1727787673,False
2024-10-01T13:07:06Z,ios,176898,LT,78.61.198.127,Vent,NOIT,Vent,spotify:track:4yMXKeuRDOIzrh3fBiJYds,,,,,,,,trackdone,trackdone,False,False,False,1727787849,False
2024-10-01T13:10:02Z,ios,176898,LT,78.61.198.127,Vent,NOIT,Vent,spotify:track:4yMXKeuRDOIzrh3fBiJYds,,,,,,,,trackdone,trackdone,False,False,False,1727788025,False
2024-10-01T15:01:01Z,ios,64702,LT,78.61.198.127,Vent,NOIT,Vent,spotify:track:4yMXKeuRDOIzrh3fBiJYds,,,,,,,,trackdone,fwdbtn,False,True,False,1727788200,False
2024-10-01T16:02:31Z,ios,2902,LT,84.15.176.14,XTAYALIVE (Sped Up),jnhygs,XTAYALIVE (Remixes),spotify:track:3kT9d883WaRCyzvDyRTagb,,,,,,,,fwdbtn,fwdbtn,False,True,False,1727794861,False
2024-10-01T16:36:32Z,ios,1904,LT,78.61.198.127,khaos emerald,9lives,#exclusive,spotify:track:3KCK7509rDq8dPZ1Cm9bpY,,,,,,,,fwdbtn,unexpected-exit-while-paused,False,False,False,1727798551,False
2024-10-02T04:18:45Z,ios,185000,LT,78.61.198.127,Oh Ana - Mother Version,Mother Mother,Mother EP,spotify:track:6uOuBt7CUIrIgjnjXLiNs6,,,,,,,,playbtn,trackdone,True,False,False,1727842541,False
2024-10-02T04:18:48Z,ios,4506,LT,78.61.198.127,Intro,Mother Mother,Mother EP,spotify:track:5ZptJPfWyB56MvXd5pRzdn,,,,,,,,trackdone,trackdone,True,False,False,1727842723,False
2024-10-02T04:21:24Z,ios,157000,LT,78.61.198.127,Babies,Mother Mother,Mother EP,spotify:track:4j4PrPjWn6ZovhlzvPAETh,,,,,,,,trackdone,trackdone,True,False,False,1727842726,False
2024-10-02T04:22:36Z,ios,74000,LT,84.15.177.176,Home Recording,Mother Mother,Mother EP,spotify:track:4jqCUL4t0IGYrFTfq6mbMt,,,,,,,,trackdone,trackdone,True,False,False,1727842882,False
2024-10-02T04:22:50Z,ios,9939,LT,78.61.198.127,Fat Kids,Mother Mother,Mother EP,spotify:track:6FR28ac44LNeSvA0sbqayI,,,,,,,,trackdone,logout,True,False,False,1727842954,False
2024-11-06T15:54:31Z,ios,3668,LT,78.61.198.127,Human Pills,Kap Bambino,Blacklist,spotify:track:1ZYTIBBOW1Aw4MZF5zQvdK,,,,,,,,fwdbtn,unexpected-exit-while-paused,False,False,False,1730907087,False
2024-11-06T15:54:53Z,ios,2183,LT,78.61.198.127,Human Pills,Kap Bambino,Blacklist,spotify:track:1ZYTIBBOW1Aw4MZF5zQvdK,,,,,,,,appload,fwdbtn,False,True,False,1730908470,False
2024-11-06T15:55:40Z,ios,6803,LT,78.61.198.127,I Am a Poseur,X-Ray Spex,Germ Free Adolescents,spotify:track:5Aux6GnqPx1vmo7lxQfzhd,,,,,,,,fwdbtn,unexpected-exit-while-paused,False,False,False,1730908493,False
2024-11-06T15:57:16Z,ios,59141,LT,78.61.198.127,I Am a Poseur,X-Ray Spex,Germ Free Adolescents,spotify:track:5Aux6GnqPx1vmo7lxQfzhd,,,,,,,,appload,fwdbtn,False,True,False,1730908540,False
